12/01/2023 09:59:18: Starting run with config: dropout=0.01, num_epochs=3, learning_rate=0.1
12/01/2023 10:39:06: Starting run with config: dropout=0.3, num_epochs=10, learning_rate=0.01
12/01/2023 10:39:39: Test Loss:  1.08060 | Test acc:  0.383 | Test macro_f1:  0.367 | Test f1 scores of classes: [' 0.449', ' 0.344', ' 0.308']
12/01/2023 10:39:41: Starting run with config: dropout=0.3, num_epochs=10, learning_rate=0.005
12/01/2023 10:40:14: Test Loss:  1.02881 | Test acc:  0.502 | Test macro_f1:  0.447 | Test f1 scores of classes: [' 0.630', ' 0.286', ' 0.425']
12/01/2023 10:40:16: Starting run with config: dropout=0.3, num_epochs=10, learning_rate=0.001
12/01/2023 10:40:49: Test Loss:  1.08725 | Test acc:  0.585 | Test macro_f1:  0.441 | Test f1 scores of classes: [' 0.751', ' 0.306', ' 0.268']
12/01/2023 10:40:51: Starting run with config: dropout=0.3, num_epochs=10, learning_rate=0.0005
12/01/2023 10:41:24: Test Loss:  1.03071 | Test acc:  0.531 | Test macro_f1:  0.462 | Test f1 scores of classes: [' 0.667', ' 0.362', ' 0.357']
12/01/2023 10:41:25: Starting run with config: dropout=0.3, num_epochs=10, learning_rate=0.0001
12/01/2023 10:41:58: Test Loss:  1.03782 | Test acc:  0.552 | Test macro_f1:  0.461 | Test f1 scores of classes: [' 0.706', ' 0.319', ' 0.357']
