11/01/2023 17:47:58: Starting run with config: dropout=0.01, num_epochs=3, learning_rate=0.1
11/01/2023 18:27:45: Starting run with config: dropout=0.3, num_epochs=10, learning_rate=0.01
11/01/2023 18:28:15: Test Loss:  1.08487 | Test acc:  0.560 | Test macro_f1:  0.339 | Test f1 scores of classes: [' 0.731', ' 0.257', ' 0.030']
11/01/2023 18:28:17: Starting run with config: dropout=0.3, num_epochs=10, learning_rate=0.005
11/01/2023 18:28:50: Test Loss:  1.02060 | Test acc:  0.549 | Test macro_f1:  0.507 | Test f1 scores of classes: [' 0.651', ' 0.403', ' 0.467']
11/01/2023 18:28:52: Starting run with config: dropout=0.3, num_epochs=10, learning_rate=0.001
11/01/2023 18:29:25: Test Loss:  1.01371 | Test acc:  0.542 | Test macro_f1:  0.472 | Test f1 scores of classes: [' 0.682', ' 0.388', ' 0.345']
11/01/2023 18:29:27: Starting run with config: dropout=0.3, num_epochs=10, learning_rate=0.0005
11/01/2023 18:30:00: Test Loss:  0.99089 | Test acc:  0.552 | Test macro_f1:  0.514 | Test f1 scores of classes: [' 0.650', ' 0.430', ' 0.463']
11/01/2023 18:30:02: Starting run with config: dropout=0.3, num_epochs=10, learning_rate=0.0001
11/01/2023 18:30:35: Test Loss:  1.01794 | Test acc:  0.498 | Test macro_f1:  0.441 | Test f1 scores of classes: [' 0.612', ' 0.265', ' 0.446']
